City,Team,Abbreviation_Retrosheet,Team_Code_Odds_DF
Los Angeles,Angels,ANA,LOS
Phoenix,Diamondbacks,ARI,ARI
Atlanta,Braves,ATL,ATL
Baltimore,Orioles,BAL,BAL
Boston,Red Sox,BOS,BOS
Boston,Red Sox,BOS,BRS
Chicago,White Sox,CHA,CWS
Chicago,Cubs,CHN,CUB
Chicago,Cubs,CHN,CHC
Cincinnati,Reds,CIN,CIN
Cleveland,Indians,CLE,CLE
Denver,Rockies,COL,COL
Detroit,Tigers,DET,DET
Miami,Marlins,FLO,FLO
Houston,Astros,HOU,HOU
Kansas City,Royals,KCA,KAN
Los Angeles,Dodgers,LAN,LAD
Los Angeles,Dodgers,LAN,LAA
Miami,Marlins,MIA,MIA
Milwaukee,Brewers,MIL,MIL
Minneapolis,Twins,MIN,MIN
New York,Yankees,NYA,NYY
New York,Mets,NYN,NYM
Oakland,Athletics,OAK,OAK
Philadelphia,Phillies,PHI,PHI
Pittsburgh,Pirates,PIT,PIT
San Diego,Padres,SDN,SDG
Seattle,Mariners,SEA,SEA
San Francisco,Giants,SFN,SFG
San Francisco,Giants,SFN,SFO
St. Louis,Cardinals,SLN,STL
Tampa,Rays,TBA,TAM
Arlington,Rangers,TEX,TEX
Toronto,Blue Jays,TOR,TOR
"Washington, D.C.",Nationals,WAS,WAS
